entry_id,old_billing_sku,old_kms,new_billing_sku,new_kms
733,Farmind-3-PNB-PNB,107.00,Farmind-3-DVO-DVO,202.00
746,"Good Farmer-18-PNB-PNB",146.40,"Good Farmer-18-PNB-DVO",192.40
748,"Good Farmer-18-PNB-PNB",146.40,"Good Farmer-18-PNB-DVO",192.40
755,Farmind-3-PNB-PNB,107.00,Farmind-3-DVO-DVO,202.00
756,Farmind-18-DVO-PNB,169.40,Farmind-18-DVO-DVO,202.00
757,Farmind-3-PNB-PNB,107.00,Farmind-3-DVO-DVO,202.00
758,Farmind-3-PNB-PNB,107.00,Farmind-3-DVO-PNB,143.00
786,Farmind-3-PNB-PNB,107.00,Farmind-3-DVO-DVO,202.00
787,Farmind-3-PNB-PNB,107.00,Farmind-3-DVO-DVO,202.00
788,Farmind-3-PNB-PNB,107.00,Farmind-3-DVO-DVO,202.00
793,Farmind-18-DVO-PNB,169.40,Farmind-18-DVO-DVO,202.00
797,"Good Farmer-18-PNB-PNB",146.40,"Good Farmer-18-PNB-DVO",192.40
804,"Good Farmer-18-PNB-PNB",146.40,"Good Farmer-18-PNB-DVO",192.40
817,Sumifru-6-PNB-PNB,171.40,Sumifru-6-DVO-DVO,171.40
829,Sumifru-10-DVO-PNB,186.90,Sumifru-10-DVO-DVO,171.40
834,"Good Farmer-15-PNB-PNB",149.90,"Good Farmer-15-DVO-DVO",156.40
835,ABC-Donmar-PNB-PNB,361.00,ABC-Donmar-DVO-DVO,340.00
838,ABC-Pantukan-PNB-PNB,130.00,ABC-Pantukan-DVO-DVO,185.00
1288,Farmind-3-PNB-PNB,107.00,Farmind-3-DVO-DVO,202.00
934,Sumifru-6-PNB-PNB,171.40,Sumifru-6-DVO-DVO,171.40
1006,Sumifru-6-PNB-PNB,171.40,Sumifru-6-DVO-DVO,171.40
1008,Sumifru-6-PNB-PNB,171.40,Sumifru-6-DVO-DVO,171.40
1017,"Good Farmer-1-PNB-PNB",107.00,"Good Farmer-1-DVO-DVO",202.20
1020,"Good Farmer-1-PNB-PNB",107.00,"Good Farmer-1-DVO-DVO",202.20
1056,"Good Farmer-11-PNB-PNB",167.40,"Good Farmer-11-DVO-DVO",213.40
1063,"Good Farmer-2-PNB-PNB",129.20,"Good Farmer-2-DVO-PNB",145.40
1069,"Good Farmer-15-PNB-PNB",149.90,"Good Farmer-15-DVO-PNB",114.60
1074,"Good Farmer-15-PNB-PNB",149.90,"Good Farmer-15-DVO-PNB",114.60
1076,"Good Farmer-17-PNB-PNB",132.40,"Good Farmer-17-DVO-DVO",178.40
1077,"Good Farmer-17-PNB-PNB",132.40,"Good Farmer-17-DVO-DVO",178.40
1078,Sumifru-10-DVO-PNB,186.90,Sumifru-10-DVO-DVO,171.40
1289,Farmind-1-PNB-PNB,107.00,Farmind-1-DVO-DVO,202.20
1126,Sumifru-10-DVO-PNB,186.90,Sumifru-10-DVO-DVO,171.40
1127,Sumifru-6-PNB-PNB,171.40,Sumifru-6-DVO-DVO,171.40
1128,Sumifru-6-PNB-PNB,171.40,Sumifru-6-DVO-DVO,171.40
1145,"Good Farmer-15-PNB-PNB",149.90,"Good Farmer-15-DVO-PNB",114.60
1151,"Good Farmer-1-PNB-PNB",107.00,"Good Farmer-1-DVO-DVO",202.20
1152,"Good Farmer-2-PNB-PNB",129.20,"Good Farmer-2-DVO-DVO",161.60
1165,ABC-Donmar-PNB-PNB,361.00,ABC-Donmar-DVO-DVO,340.00
1166,ABC-Donmar-PNB-PNB,361.00,ABC-Donmar-DVO-DVO,340.00
1168,ABC-Cateel-PNB-PNB,308.00,ABC-Cateel-DVO-PNB,362.00
1172,ABC-Cateel-PNB-PNB,308.00,ABC-Cateel-DVO-PNB,362.00
1174,ABC-Cateel-PNB-PNB,308.00,ABC-Cateel-DVO-DVO,378.00
1176,ABC-Cateel-PNB-PNB,308.00,ABC-Cateel-DVO-PNB,362.00
1182,ABC-Pantukan-PNB-PNB,130.00,ABC-Pantukan-DVO-DVO,185.00
1185,ABC-Pantukan-PNB-PNB,130.00,ABC-Pantukan-DVO-DVO,185.00
1187,ABC-Pantukan-PNB-PNB,130.00,ABC-Pantukan-DVO-DVO,185.00
1188,ABC-Pantukan-PNB-PNB,130.00,ABC-Pantukan-DVO-DVO,185.00
1193,Farmind-3-PNB-PNB,107.00,Farmind-3-DVO-DVO,202.00
1198,Farmind-3-PNB-PNB,107.00,Farmind-3-DVO-DVO,202.00
1226,Sumifru-10-DVO-PNB,186.90,Sumifru-10-DVO-DVO,171.40
1227,Sumifru-10-DVO-PNB,186.90,Sumifru-10-DVO-DVO,171.40
1228,Sumifru-10-DVO-PNB,186.90,Sumifru-10-DVO-DVO,171.40
1230,Sumifru-10-DVO-PNB,186.90,Sumifru-10-DVO-DVO,171.40
1231,Sumifru-10-DVO-PNB,186.90,Sumifru-10-DVO-DVO,171.40
1233,"Good Farmer-18-PNB-PNB",146.40,"Good Farmer-18-DVO-PNB",169.40
1291,Farmind-3-PNB-PNB,107.00,Farmind-3-DVO-DVO,202.00
1332,Farmind-3-PNB-PNB,107.00,Farmind-3-DVO-DVO,202.00
1334,Farmind-3-PNB-PNB,107.00,Farmind-3-DVO-DVO,202.00
1342,Farmind-3-PNB-PNB,107.00,Farmind-3-DVO-DVO,202.00
1346,Farmind-3-PNB-PNB,107.00,Farmind-3-DVO-DVO,202.00
1348,Farmind-3-PNB-PNB,107.00,Farmind-3-DVO-DVO,202.00
1389,"Good Farmer-11-PNB-PNB",167.40,"Good Farmer-11-DVO-PNB",190.40
1410,Farmind-3-PNB-PNB,107.00,Farmind-3-DVO-DVO,202.00
1414,Farmind-3-PNB-PNB,107.00,Farmind-3-DVO-DVO,202.00
1417,"Good Farmer-17-PNB-PNB",132.40,"Good Farmer-17-PNB-DVO",178.40
1423,Sumifru-10-DVO-PNB,186.90,Sumifru-10-DVO-DVO,171.40
1424,Sumifru-10-DVO-PNB,186.90,Sumifru-10-DVO-DVO,171.40
1425,Sumifru-10-DVO-PNB,186.90,Sumifru-10-DVO-DVO,171.40
1427,Sumifru-10-DVO-PNB,186.90,Sumifru-10-DVO-DVO,171.40
