route_id,sku_name,segment,farm,pullout,ph,delivered,roundtrip_distance,SAP_ASSIGNED_NO
120,"Dry Container-SOUTHERN HARVEST-DVO-DVO","Dry Container","SOUTHERN HARVEST",DAVAO,,DAVAO,83.50,
119,"Dry Container-SOUTHERN HARVEST-DVO-PNB","Dry Container","SOUTHERN HARVEST",DAVAO,,PANABO,48.00,
118,"Dry Container-SOUTHERN HARVEST-PNB-DVO","Dry Container","SOUTHERN HARVEST",PANABO,,DAVAO,48.00,
117,"Dry Container-SOUTHERN HARVEST-PNB-PNB","Dry Container","SOUTHERN HARVEST",PANABO,,PANABO,5.00,
59,Farmind-1-DVO-PNB,Farmind,1,DAVAO,PH01,PANABO,143.00,
58,Farmind-1-PNB-DVO,Farmind,1,PANABO,PH01,DAVAO,143.00,
57,Farmind-1-PNB-PNB,Farmind,1,PANABO,PH01,PANABO,107.00,
63,Farmind-15-PNB-PNB,Farmind,15,PANABO,PH15,PANABO,107.00,
62,Farmind-18-DVO-DVO,Farmind,18,DAVAO,PH18,DAVAO,202.00,
55,Farmind-3-DVO-DVO,Farmind,3,DAVAO,PH03,DAVAO,202.00,
54,Farmind-3-DVO-PNB,Farmind,3,DAVAO,PH03,PANABO,143.00,
53,Farmind-3-PNB-DVO,Farmind,3,PANABO,PH03,DAVAO,143.00,
52,Farmind-3-PNB-PNB,Farmind,3,PANABO,PH03,PANABO,107.00,
56,Farmind-5-DVO-DVO,Farmind,5,DAVAO,PH05,DAVAO,202.00,
51,Farmind-6-DVO-DVO,Farmind,6,DAVAO,PH06,DAVAO,202.20,
41,"Good Farmer-1-DVO-PNB","Good Farmer",1,DAVAO,PH01,PANABO,143.00,
40,"Good Farmer-1-PNB-PNB","Good Farmer",1,PANABO,PH01,PANABO,107.00,
35,"Good Farmer-15-DVO-DVO","Good Farmer",15,DAVAO,PH15,DAVAO,156.40,
34,"Good Farmer-15-DVO-PNB","Good Farmer",15,DAVAO,PH15,PANABO,114.60,
33,"Good Farmer-15-PNB-DVO","Good Farmer",15,PANABO,PH15,DAVAO,114.60,
74,Sumifru-10-DVO-DVO,Sumifru,10,DAVAO,PH10,DAVAO,171.40,
72,Sumifru-15-DVO-DVO,Sumifru,15,DAVAO,PH15,DAVAO,171.40,
71,Sumifru-18-DVO-DVO,Sumifru,18,DAVAO,PH18,DAVAO,171.40,
68,Sumifru-2-DVO-DVO,Sumifru,2,DAVAO,PH02,DAVAO,170.00,
77,Sumifru-3-DVO-DVO,Sumifru,3,DAVAO,PH03,DAVAO,202.00,
65,Sumifru-7-DVO-DVO,Sumifru,7,DAVAO,PH07,DAVAO,171.40,
100,"SVT_DEL MONTE-SVT-DVO-DVO","SVT_DEL MONTE",SVT,DAVAO,SVT,DAVAO,76.00,
99,"SVT_DEL MONTE-SVT-DVO-PNB ","SVT_DEL MONTE",SVT,DAVAO,SVT,PANABO,48.00,
98,"SVT_DEL MONTE-SVT-PNB-DVO","SVT_DEL MONTE",SVT,PANABO,SVT,DAVAO,48.00,
97,"SVT_DEL MONTE-SVT-PNB-PNB","SVT_DEL MONTE",SVT,PANABO,SVT,PANABO,10.00,
96,"TDC - CLASS B-SVT-DVO-DVO","TDC - CLASS B",SVT,DAVAO,SVT,DAVAO,76.00,
95,"TDC - CLASS B-SVT-DVO-PNB","TDC - CLASS B",SVT,DAVAO,SVT,PANABO,43.00,
94,"TDC - CLASS B-SVT-PNB-PNB","TDC - CLASS B",SVT,PANABO,SVT,PANABO,10.00,
